name,value,year,lastValue,rank,colour,tcolour
Feyenoord,28,1956,0,1,#E83519,#000000
Fortuna '54,28,1956,0,2,#136207,#FFFFFF
MVV Maastricht,28,1956,0,3,#E83519,#FFFFFF
SC Enschede,28,1956,0,4,#000000,#FFFFFF
Ajax,25,1956,0,5,#E83519,#FFFFFF
NAC Breda,25,1956,0,6,#FFFF00,#000000
VVV-Venlo,25,1956,0,7,#FFFF00,#000000
Rapid JC Heerlen,23,1956,0,8,#FFFF00,#000000
DOS Utrecht,21,1956,0,9,#FFFF00,#000000
PSV,21,1956,0,10,#E83519,#FFFFFF
Ajax,103,1957,5,1,#E83519,#FFFFFF
SC Enschede,91,1957,4,2,#000000,#FFFFFF
Fortuna '54,87,1957,2,3,#136207,#FFFFFF
Feyenoord,83,1957,1,4,#E83519,#000000
PSV,82,1957,10,5,#E83519,#FFFFFF
DOS Utrecht,80,1957,9,6,#FFFF00,#000000
MVV Maastricht,79,1957,3,7,#E83519,#FFFFFF
VVV-Venlo,79,1957,7,8,#FFFF00,#000000
Rapid JC Heerlen,75,1957,8,9,#FFFF00,#000000
Sparta Rotterdam,72,1957,13,10,#E83519,#FFFFFF
Ajax,158,1958,1,1,#E83519,#FFFFFF
SC Enschede,155,1958,2,2,#000000,#FFFFFF
DOS Utrecht,153,1958,6,3,#FFFF00,#000000
Fortuna '54,151,1958,3,4,#136207,#FFFFFF
Feyenoord,133,1958,4,5,#E83519,#000000
Sparta Rotterdam,129,1958,10,6,#E83519,#FFFFFF
MVV Maastricht,128,1958,7,7,#E83519,#FFFFFF
VVV-Venlo,128,1958,8,8,#FFFF00,#000000
PSV,126,1958,5,9,#E83519,#FFFFFF
Rapid JC Heerlen,124,1958,9,10,#FFFF00,#000000
Ajax,220,1959,1,1,#E83519,#FFFFFF
DOS Utrecht,207,1959,3,2,#FFFF00,#000000
Fortuna '54,195,1959,4,3,#136207,#FFFFFF
SC Enschede,191,1959,2,4,#000000,#FFFFFF
Feyenoord,188,1959,5,5,#E83519,#000000
Sparta Rotterdam,187,1959,6,6,#E83519,#FFFFFF
PSV,184,1959,9,7,#E83519,#FFFFFF
VVV-Venlo,181,1959,8,8,#FFFF00,#000000
Rapid JC Heerlen,179,1959,10,9,#FFFF00,#000000
MVV Maastricht,176,1959,7,10,#E83519,#FFFFFF
Ajax,285,1960,1,1,#E83519,#FFFFFF
